,c0,c1,c2
original,0.26686909581646423,0.2236842105263158,0.50944669365722
right_coarse,0.10431654676258993,0.16906474820143885,0.7266187050359713
wrong_coarse,0.30440199335548174,0.23629568106312293,0.45930232558139533
right_middle,0.09719222462203024,0.16630669546436286,0.7365010799136069
wrong_middle,0.29828068772491,0.2343062774890044,0.4674130347860856
right_fine,0.08549222797927461,0.18393782383419688,0.7305699481865285
wrong_fine,0.2940263770364624,0.22963537626066718,0.47633824670287045
